iter	Passed	Remaining
827	37492	7788
828	37535	7742
829	37576	7696
830	37618	7650
831	37665	7605
832	37739	7566
833	37781	7520
834	37823	7474
835	37867	7428
836	37916	7383
837	37959	7338
838	38003	7292
839	38045	7246
840	38090	7201
841	38132	7155
842	38175	7109
843	38220	7064
844	38264	7018
845	38306	6973
846	38351	6927
847	38398	6882
848	38460	6840
849	38520	6797
850	38570	6753
851	38612	6707
852	38656	6661
853	38700	6616
854	38750	6571
855	38793	6526
856	38836	6480
857	38881	6434
858	38927	6389
859	38971	6344
860	39016	6298
861	39059	6253
862	39105	6207
863	39150	6162
864	39195	6117
865	39270	6076
866	39325	6032
867	39369	5987
868	39416	5941
869	39460	5896
870	39502	5850
871	39546	5804
872	39588	5759
873	39630	5713
874	39677	5668
875	39721	5622
876	39763	5576
877	39824	5533
878	39867	5488
879	39913	5442
880	39970	5399
881	40016	5353
882	40067	5309
883	40112	5263
884	40161	5218
885	40211	5173
886	40259	5128
887	40304	5083
888	40348	5037
889	40395	4992
890	40439	4947
891	40484	4901
892	40528	4856
893	40571	4810
894	40614	4764
895	40661	4719
896	40705	4674
897	40747	4628
898	40790	4582
899	40833	4537
900	40876	4491
901	40921	4445
902	40965	4400
903	41008	4354
904	41052	4309
905	41099	4264
906	41145	4218
907	41192	4173
908	41237	4128
909	41282	4082
910	41328	4037
911	41373	3992
912	41446	3949
913	41503	3905
914	41548	3859
915	41591	3814
916	41634	3768
917	41678	3722
918	41720	3677
919	41763	3631
920	41805	3585
921	41847	3540
922	41893	3494
923	41949	3450
924	41991	3404
925	42036	3359
926	42079	3313
927	42121	3268
928	42164	3222
929	42206	3176
930	42250	3131
931	42291	3085
932	42335	3040
933	42380	2994
934	42429	2949
935	42473	2904
936	42517	2858
937	42560	2813
938	42603	2767
939	42646	2722
940	42690	2676
941	42751	2632
942	42796	2586
943	42837	2541
944	42883	2495
945	42927	2450
946	42970	2404
947	43013	2359
948	43055	2313
949	43099	2268
950	43145	2223
951	43193	2177
952	43236	2132
953	43280	2086
954	43323	2041
955	43367	1995
956	43422	1951
957	43466	1905
958	43509	1860
959	43571	1815
960	43623	1770
961	43673	1725
962	43718	1679
963	43761	1634
964	43803	1588
965	43846	1543
966	43888	1497
967	43934	1452
968	43976	1406
969	44018	1361
970	44061	1315
971	44103	1270
972	44144	1224
973	44199	1179
974	44242	1134
975	44288	1089
976	44331	1043
977	44373	998
978	44417	952
979	44461	907
980	44505	861
981	44548	816
982	44601	771
983	44644	725
984	44687	680
985	44746	635
986	44787	589
987	44831	544
988	44876	499
989	44920	453
990	44966	408
991	45014	363
992	45056	317
993	45100	272
994	45144	226
995	45187	181
996	45235	136
997	45280	90
998	45323	45
999	45366	0
